,P1 (YG63LHK),P2 (YG62-1.5),P3 (YG62-1),P4 (YG62-0.5),P5 (YG62),P6 (YG61-2.5),P7 (YG61-2),P8 (YG61-1.5),P9 (YG61-1),P10 (YG61-0.9HX),P11 (YG61-0.75),P12 (YG61-0.5),P13 (YG61-0.25),P14 (YG61),P15 (YG60-1.75),P16 (YG60-1.5),P17 (YG60-1.25),P18 (YG60-1),P19 (YG60-0.5),P20 (YG60),P21 (YG59-0.5),P22 (YG59-1),P23 (YG59-2),P24 (YG59),P25 (YG58-1),P26 (YG58),P27 (YG57-1),P28 (YG57-2),P29 (YG57),P30 (YG56-1),P31 (YG56),P32 (YG55-1),P33 (YG55),P34 (YG54-1),P35 (YG54),P36 (YG53-2),P37 (YG53-1),P38 (YG53),P39 (YG52-1),P40 (YG52),P41 (YG51-1),P42 (YG51),P43 (YG50-1),P44 (YG50),P45 (YG49-1),P46 (YG49),P47 (YG48-1),P48 (YG48),P49 (YG47-2),P50 (YG47),P51 (YG47-1),P52 (YG46),P53 (YG46-1),P54 (YG45),P55 (YG45-1),P56 (YG44YGYJ)
P1 (YG63LHK),15.0000,3.9857,1.9238,1.3892,1.0894,0.9287,0.8353,0.7541,0.6959,0.7049,0.6291,0.5923,0.5437,0.5063,0.4717,0.4426,0.4183,0.3995,0.3703,0.3435,0.3230,0.3033,0.2807,0.2571,0.2315,0.2163,0.2041,0.1889,0.1746,0.1596,0.1483,0.1399,0.1327,0.1242,0.1200,0.1192,0.1173,0.1144,0.1134,0.1139,0.1143,0.1129,0.1084,0.1052,0.1039,0.1040,0.1038,0.1007,0.0975,0.0937,0.0936,0.0923,0.0885,0.0859,0.0831,0.0816
P2 (YG62-1.5),-3.9857,15.0000,3.6789,2.1135,1.4878,1.2071,1.0556,0.9301,0.8426,0.8535,0.7457,0.6942,0.6284,0.5792,0.5348,0.4978,0.4674,0.4439,0.4078,0.3753,0.3508,0.3275,0.3012,0.2741,0.2449,0.2276,0.2139,0.1975,0.1819,0.1657,0.1536,0.1446,0.1369,0.1279,0.1236,0.1228,0.1208,0.1177,0.1167,0.1172,0.1177,0.1161,0.1114,0.1081,0.1067,0.1068,0.1065,0.1033,0.1000,0.0959,0.0958,0.0944,0.0905,0.0878,0.0848,0.0833
P3 (YG62-1),-1.9238,-3.6789,15.0000,4.9653,2.4973,1.7950,1.4756,1.2325,1.0758,1.0778,0.9166,0.8387,0.7449,0.6780,0.6203,0.5728,0.5339,0.5041,0.4585,0.4179,0.3877,0.3595,0.3280,0.2961,0.2621,0.2423,0.2266,0.2084,0.1912,0.1734,0.1602,0.1504,0.1421,0.1325,0.1278,0.1270,0.1249,0.1216,0.1205,0.1210,0.1215,0.1198,0.1147,0.1112,0.1098,0.1099,0.1097,0.1063,0.1027,0.0985,0.0983,0.0969,0.0927,0.0899,0.0868,0.0852
P4 (YG62-0.5),-1.3892,-2.1135,-4.9653,15.0000,5.0240,2.7963,2.0785,1.6050,1.3353,1.3092,1.0900,0.9805,0.8558,0.7710,0.7006,0.6430,0.5960,0.5599,0.5049,0.4562,0.4206,0.3875,0.3512,0.3148,0.2766,0.2545,0.2371,0.2174,0.1988,0.1796,0.1655,0.1551,0.1463,0.1361,0.1312,0.1304,0.1281,0.1246,0.1234,0.1239,0.1244,0.1225,0.1173,0.1137,0.1122,0.1123,0.1121,0.1086,0.1049,0.1005,0.1003,0.0988,0.0945,0.0916,0.0884,0.0867
P5 (YG62),-1.0894,-1.4878,-2.4973,-5.0240,15.0000,6.0269,3.3977,2.2244,1.7084,1.5988,1.3140,1.1579,0.9920,0.8847,0.7994,0.7294,0.6722,0.6281,0.5607,0.5017,0.4590,0.4199,0.3776,0.3358,0.2927,0.2678,0.2485,0.2270,0.2069,0.1862,0.1711,0.1600,0.1506,0.1399,0.1347,0.1338,0.1314,0.1278,0.1265,0.1269,0.1274,0.1254,0.1199,0.1161,0.1147,0.1148,0.1146,0.1109,0.1071,0.1025,0.1024,0.1008,0.0963,0.0933,0.0900,0.0883
P6 (YG61-2.5),-0.9287,-1.2071,-1.7950,-2.7963,-6.0269,15.0000,7.7584,3.4569,2.3298,2.0528,1.6471,1.4108,1.1763,1.0318,0.9206,0.8298,0.7561,0.7000,0.6158,0.5443,0.4938,0.4485,0.4003,0.3533,0.3054,0.2778,0.2568,0.2343,0.2130,0.1912,0.1753,0.1637,0.1539,0.1428,0.1375,0.1367,0.1342,0.1304,0.1291,0.1296,0.1302,0.1281,0.1224,0.1184,0.1169,0.1170,0.1168,0.1129,0.1090,0.1042,0.1040,0.1024,0.0978,0.0947,0.0913,0.0895
P7 (YG61-2),-0.8353,-1.0556,-1.4756,-2.0785,-3.3977,-7.7584,15.0000,6.0457,3.2485,2.6060,2.0568,1.7050,1.3793,1.1880,1.0445,0.9285,0.8355,0.7657,0.6639,0.5801,0.5225,0.4716,0.4183,0.3670,0.3151,0.2852,0.2627,0.2396,0.2175,0.1949,0.1784,0.1664,0.1563,0.1449,0.1396,0.1388,0.1363,0.1324,0.1312,0.1318,0.1323,0.1302,0.1243,0.1202,0.1186,0.1187,0.1185,0.1145,0.1104,0.1055,0.1053,0.1036,0.0989,0.0957,0.0922,0.0904
P8 (YG61-1.5),-0.7541,-0.9301,-1.2325,-1.6050,-2.2244,-3.4569,-6.0457,15.0000,7.0104,4.2314,3.1168,2.3746,1.7828,1.4687,1.2429,1.0701,0.9384,0.8445,0.7154,0.6156,0.5498,0.4929,0.4345,0.3788,0.3230,0.2906,0.2666,0.2436,0.2210,0.1978,0.1810,0.1686,0.1583,0.1467,0.1415,0.1408,0.1383,0.1344,0.1333,0.1341,0.1348,0.1326,0.1265,0.1223,0.1205,0.1206,0.1202,0.1160,0.1119,0.1068,0.1065,0.1047,0.0999,0.0967,0.0932,0.0913
P9 (YG61-1),-0.6959,-0.8426,-1.0758,-1.3353,-1.7084,-2.3298,-3.2485,-7.0104,15.0000,7.4051,5.6053,3.5766,2.3654,1.8240,1.4637,1.2115,1.0322,0.9117,0.7559,0.6421,0.5698,0.5084,0.4462,0.3873,0.3285,0.2940,0.2690,0.2462,0.2235,0.1999,0.1828,0.1702,0.1597,0.1480,0.1429,0.1424,0.1400,0.1360,0.1351,0.1360,0.1368,0.1347,0.1284,0.1240,0.1221,0.1221,0.1216,0.1173,0.1130,0.1078,0.1074,0.1056,0.1007,0.0975,0.0939,0.0921
P10 (YG61-0.9HX),-0.7049,-0.8535,-1.0778,-1.3092,-1.5988,-2.0528,-2.6060,-4.2314,-7.4051,15.0000,5.6235,3.6948,2.3756,1.7888,1.3991,1.1446,0.9705,0.8565,0.7125,0.6086,0.5427,0.4864,0.4292,0.3742,0.3186,0.2855,0.2616,0.2404,0.2188,0.1962,0.1798,0.1677,0.1574,0.1461,0.1413,0.1410,0.1387,0.1349,0.1342,0.1353,0.1362,0.1343,0.1280,0.1236,0.1216,0.1215,0.1209,0.1165,0.1123,0.1072,0.1067,0.1048,0.1000,0.0970,0.0934,0.0915
