,YG61-0.9HX,YG61-0.75,YG61-0.5,YG61-0.25,YG61,YG60-1.75,YG60-1.5,YG60-1.25,YG60-1,YG60-0.5,YG60,YG59-0.5,YG59-1,YG59-2,YG59,YG58-1,YG58,YG57-1,YG57-2,YG57,YG56-1,YG56,YG55-1,YG55,YG54-1,YG54,YG53-2,YG53-1,YG53,YG52-1,YG52,YG51-1,YG51,YG50-1,YG50,YG49-1,YG49,YG48-1,YG48,YG47-2,YG47,YG46-1,YG46,YG45-1,YG45,YG44-1,YG44YGJ
YG61-0.9HX,0,100,200,300,400,600,800,1000,1100,1400,1600,1800,2000,2300,2700,3200,3600,4000,4500,4900,5400,5900,6300,6700,7300,8000,8400,8800,9100,9700,10400,10800,11300,11700,12100,12500,13000,13500,14100,14400,14900,15400,15900,16400,17000,17400,17600
YG61-0.75,100,0,100,200,300,500,700,900,1000,1300,1500,1700,1900,2200,2600,3100,3500,3900,4400,4800,5300,5800,6200,6600,7200,7900,8300,8700,9000,9600,10300,10700,11200,11600,12000,12400,12900,13400,14000,14300,14800,15300,15800,16300,16900,17300,17500
YG61-0.5,200,100,0,100,200,400,600,800,900,1200,1400,1600,1800,2100,2500,3000,3400,3800,4300,4700,5200,5700,6100,6500,7100,7800,8200,8600,8900,9500,10200,10600,11100,11500,11900,12300,12800,13300,13900,14200,14700,15200,15700,16200,16800,17200,17400
YG61-0.25,300,200,100,0,100,300,500,700,800,1100,1300,1500,1700,2000,2400,2900,3300,3700,4200,4600,5100,5600,6000,6400,7000,7700,8100,8500,8800,9400,10100,10500,11000,11400,11800,12200,12700,13200,13800,14100,14600,15100,15600,16100,16700,17100,17300
YG61,400,300,200,100,0,200,400,600,700,1000,1200,1400,1600,1900,2300,2800,3200,3600,4100,4500,5000,5500,5900,6300,6900,7600,8000,8400,8700,9300,10000,10400,10900,11300,11700,12100,12600,13100,13700,14000,14500,15000,15500,16000,16600,17000,17200
YG60-1.75,600,500,400,300,200,0,200,400,500,800,1000,1200,1400,1700,2100,2600,3000,3400,3900,4300,4800,5300,5700,6100,6700,7400,7800,8200,8500,9100,9800,10200,10700,11100,11500,11900,12400,12900,13500,13800,14300,14800,15300,15800,16400,16800,17000
YG60-1.5,800,700,600,500,400,200,0,200,300,600,800,1000,1200,1500,1900,2400,2800,3200,3700,4100,4600,5100,5500,5900,6500,7200,7600,8000,8300,8900,9600,10000,10500,10900,11300,11700,12200,12700,13300,13600,14100,14600,15100,15600,16200,16600,16800
YG60-1.25,1000,900,800,700,600,400,200,0,100,400,600,800,1000,1300,1700,2200,2600,3000,3500,3900,4400,4900,5300,5700,6300,7000,7400,7800,8100,8700,9400,9800,10300,10700,11100,11500,12000,12500,13100,13400,13900,14400,14900,15400,16000,16400,16600
YG60-1,1100,1000,900,800,700,500,300,100,0,300,500,700,900,1200,1600,2100,2500,2900,3400,3800,4300,4800,5200,5600,6200,6900,7300,7700,8000,8600,9300,9700,10200,10600,11000,11400,11900,12400,13000,13300,13800,14300,14800,15300,15900,16300,16500
YG60-0.5,1400,1300,1200,1100,1000,800,600,400,300,0,200,400,600,900,1300,1800,2200,2600,3100,3500,4000,4500,4900,5300,5900,6600,7000,7400,7700,8300,9000,9400,9900,10300,10700,11100,11600,12100,12700,13000,13500,14000,14500,15000,15600,16000,16200
YG60,1600,1500,1400,1300,1200,1000,800,600,500,200,0,200,400,700,1100,1600,2000,2400,2900,3300,3800,4300,4700,5100,5700,6400,6800,7200,7500,8100,8800,9200,9700,10100,10500,10900,11400,11900,12500,12800,13300,13800,14300,14800,15400,15800,16000
YG59-0.5,1800,1700,1600,1500,1400,1200,1000,800,700,400,200,0,200,500,900,1400,1800,2200,2700,3100,3600,4100,4500,4900,5500,6200,6600,7000,7300,7900,8600,9000,9500,9900,10300,10700,11200,11700,12300,12600,13100,13600,14100,14600,15200,15600,15800
YG59-1,2000,1900,1800,1700,1600,1400,1200,1000,900,600,400,200,0,300,700,1200,1600,2000,2500,2900,3400,3900,4300,4700,5300,6000,6400,6800,7100,7700,8400,8800,9300,9700,10100,10500,11000,11500,12100,12400,12900,13400,13900,14400,15000,15400,15600
YG59-2,2300,2200,2100,2000,1900,1700,1500,1300,1200,900,700,500,300,0,400,900,1300,1700,2200,2600,3100,3600,4000,4400,5000,5700,6100,6500,6800,7400,8100,8500,9000,9400,9800,10200,10700,11200,11800,12100,12600,13100,13600,14100,14700,15100,15300
YG59,2700,2600,2500,2400,2300,2100,1900,1700,1600,1300,1100,900,700,400,0,500,900,1300,1800,2200,2700,3200,3600,4000,4600,5300,5700,6100,6400,7000,7700,8100,8600,9000,9400,9800,10300,10800,11400,11700,12200,12700,13200,13700,14300,14700,14900
YG58-1,3200,3100,3000,2900,2800,2600,2400,2200,2100,1800,1600,1400,1200,900,500,0,400,800,1300,1700,2200,2700,3100,3500,4100,4800,5200,5600,5900,6500,7200,7600,8100,8500,8900,9300,9800,10300,10900,11200,11700,12200,12700,13200,13800,14200,14400
YG58,3600,3500,3400,3300,3200,3000,2800,2600,2500,2200,2000,1800,1600,1300,900,400,0,400,900,1300,1800,2300,2700,3100,3700,4400,4800,5200,5500,6100,6800,7200,7700,8100,8500,8900,9400,9900,10500,10800,11300,11800,12300,12800,13400,13800,14000
YG57-1,4000,3900,3800,3700,3600,3400,3200,3000,2900,2600,2400,2200,2000,1700,1300,800,400,0,500,900,1400,1900,2300,2700,3300,4000,4400,4800,5100,5700,6400,6800,7300,7700,8100,8500,9000,9500,10100,10400,10900,11400,11900,12400,13000,13400,13600
YG57-2,4500,4400,4300,4200,4100,3900,3700,3500,3400,3100,2900,2700,2500,2200,1800,1300,900,500,0,400,900,1400,1800,2200,2800,3500,3900,4300,4600,5200,5900,6300,6800,7200,7600,8000,8500,9000,9600,9900,10400,10900,11400,11900,12500,12900,13100
YG57,4900,4800,4700,4600,4500,4300,4100,3900,3800,3500,3300,3100,2900,2600,2200,1700,1300,900,400,0,500,1000,1400,1800,2400,3100,3500,3900,4200,4800,5500,5900,6400,6800,7200,7600,8100,8600,9200,9500,10000,10500,11000,11500,12100,12500,12700
YG56-1,5400,5300,5200,5100,5000,4800,4600,4400,4300,4000,3800,3600,3400,3100,2700,2200,1800,1400,900,500,0,500,900,1300,1900,2600,3000,3400,3700,4300,5000,5400,5900,6300,6700,7100,7600,8100,8700,9000,9500,10000,10500,11000,11600,12000,12200
YG56,5900,5800,5700,5600,5500,5300,5100,4900,4800,4500,4300,4100,3900,3600,3200,2700,2300,1900,1400,1000,500,0,400,800,1400,2100,2500,2900,3200,3800,4500,4900,5400,5800,6200,6600,7100,7600,8200,8500,9000,9500,10000,10500,11100,11500,11700
YG55-1,6300,6200,6100,6000,5900,5700,5500,5300,5200,4900,4700,4500,4300,4000,3600,3100,2700,2300,1800,1400,900,400,0,400,1000,1700,2100,2500,2800,3400,4100,4500,5000,5400,5800,6200,6700,7200,7800,8100,8600,9100,9600,10100,10700,11100,11300
YG55,6700,6600,6500,6400,6300,6100,5900,5700,5600,5300,5100,4900,4700,4400,4000,3500,3100,2700,2200,1800,1300,800,400,0,600,1300,1700,2100,2400,3000,3700,4100,4600,5000,5400,5800,6300,6800,7400,7700,8200,8700,9200,9700,10300,10700,10900
YG54-1,7300,7200,7100,7000,6900,6700,6500,6300,6200,5900,5700,5500,5300,5000,4600,4100,3700,3300,2800,2400,1900,1400,1000,600,0,700,1100,1500,1800,2400,3100,3500,4000,4400,4800,5200,5700,6200,6800,7100,7600,8100,8600,9100,9700,10100,10300
YG54,8000,7900,7800,7700,7600,7400,7200,7000,6900,6600,6400,6200,6000,5700,5300,4800,4400,4000,3500,3100,2600,2100,1700,1300,700,0,400,800,1100,1700,2400,2800,3300,3700,4100,4500,5000,5500,6100,6400,6900,7400,7900,8400,9000,9400,9600
YG53-2,8400,8300,8200,8100,8000,7800,7600,7400,7300,7000,6800,6600,6400,6100,5700,5200,4800,4400,3900,3500,3000,2500,2100,1700,1100,400,0,400,700,1300,2000,2400,2900,3300,3700,4100,4600,5100,5700,6000,6500,7000,7500,8000,8600,9000,9200
YG53-1,8800,8700,8600,8500,8400,8200,8000,7800,7700,7400,7200,7000,6800,6500,6100,5600,5200,4800,4300,3900,3400,2900,2500,2100,1500,800,400,0,300,900,1600,2000,2500,2900,3300,3700,4200,4700,5300,5600,6100,6600,7100,7600,8200,8600,8800
YG53,9100,9000,8900,8800,8700,8500,8300,8100,8000,7700,7500,7300,7100,6800,6400,5900,5500,5100,4600,4200,3700,3200,2800,2400,1800,1100,700,300,0,600,1300,1700,2200,2600,3000,3400,3900,4400,5000,5300,5800,6300,6800,7300,7900,8300,8500
YG52-1,9700,9600,9500,9400,9300,9100,8900,8700,8600,8300,8100,7900,7700,7400,7000,6500,6100,5700,5200,4800,4300,3800,3400,3000,2400,1700,1300,900,600,0,700,1100,1600,2000,2400,2800,3300,3800,4400,4700,5200,5700,6200,6700,7300,7700,7900
YG52,10400,10300,10200,10100,10000,9800,9600,9400,9300,9000,8800,8600,8400,8100,7700,7200,6800,6400,5900,5500,5000,4500,4100,3700,3100,2400,2000,1600,1300,700,0,400,900,1300,1700,2100,2600,3100,3700,4000,4500,5000,5500,6000,6600,7000,7200
