,P1 (YG63LHK),P2 (YG62-1.5),P3 (YG62-1),P4 (YG62-0.5),P5 (YG62),P6 (YG61-2.5),P7 (YG61-2),P8 (YG61-1.5),P9 (YG61-1),P10 (YG61-0.9HX),P11 (YG61-0.75),P12 (YG61-0.5),P13 (YG61-0.25),P14 (YG61),P15 (YG60-1.75),P16 (YG60-1.5),P17 (YG60-1.25),P18 (YG60-1),P19 (YG60-0.5),P20 (YG60),P21 (YG59-0.5),P22 (YG59-1),P23 (YG59-2),P24 (YG59),P25 (YG58-1),P26 (YG58),P27 (YG57-1),P28 (YG57-2),P29 (YG57),P30 (YG56-1),P31 (YG56),P32 (YG55-1),P33 (YG55),P34 (YG54-1),P35 (YG54),P36 (YG53-2),P37 (YG53-1),P38 (YG53),P39 (YG52-1),P40 (YG52),P41 (YG51-1),P42 (YG51),P43 (YG50-1),P44 (YG50),P45 (YG49-1),P46 (YG49),P47 (YG48-1),P48 (YG48),P49 (YG47-2),P50 (YG47),P51 (YG47-1),P52 (YG46),P53 (YG46-1),P54 (YG45),P55 (YG45-1),P56 (YG44YGYJ)
P1 (YG63LHK),15.0000,3.3333,1.6667,1.2500,1.0000,0.9091,0.7692,0.7143,0.6250,0.5882,0.5556,0.5263,0.5000,0.4762,0.4348,0.4000,0.3704,0.3571,0.3226,0.3030,0.2857,0.2703,0.2500,0.2273,0.2041,0.1887,0.1754,0.1613,0.1515,0.1408,0.1316,0.1250,0.1190,0.1111,0.1031,0.0990,0.0952,0.0926,0.0877,0.0826,0.0800,0.0769,0.0746,0.0725,0.0704,0.0680,0.0658,0.0633,0.0621,0.0602,0.0585,0.0568,0.0552,0.0535,0.0524,0.0518
P2 (YG62-1.5),-3.3333,15.0000,3.3333,2.0000,1.4286,1.2500,1.0000,0.9091,0.7692,0.7143,0.6667,0.6250,0.5882,0.5556,0.5000,0.4545,0.4167,0.4000,0.3571,0.3333,0.3125,0.2941,0.2703,0.2439,0.2174,0.2000,0.1852,0.1695,0.1587,0.1471,0.1370,0.1299,0.1235,0.1149,0.1064,0.1020,0.0980,0.0952,0.0901,0.0847,0.0820,0.0787,0.0763,0.0741,0.0719,0.0694,0.0671,0.0645,0.0633,0.0613,0.0595,0.0578,0.0562,0.0543,0.0532,0.0526
P3 (YG62-1),-1.6667,-3.3333,15.0000,5.0000,2.5000,2.0000,1.4286,1.2500,1.0000,0.9091,0.8333,0.7692,0.7143,0.6667,0.5882,0.5263,0.4762,0.4545,0.4000,0.3704,0.3448,0.3226,0.2941,0.2632,0.2326,0.2128,0.1961,0.1786,0.1667,0.1538,0.1429,0.1351,0.1282,0.1190,0.1099,0.1053,0.1010,0.0980,0.0926,0.0870,0.0840,0.0806,0.0781,0.0758,0.0735,0.0709,0.0685,0.0658,0.0645,0.0625,0.0606,0.0588,0.0571,0.0552,0.0541,0.0535
P4 (YG62-0.5),-1.2500,-2.0000,-5.0000,15.0000,5.0000,3.3333,2.0000,1.6667,1.2500,1.1111,1.0000,0.9091,0.8333,0.7692,0.6667,0.5882,0.5263,0.5000,0.4348,0.4000,0.3704,0.3448,0.3125,0.2778,0.2439,0.2222,0.2041,0.1852,0.1724,0.1587,0.1471,0.1389,0.1316,0.1220,0.1124,0.1075,0.1031,0.1000,0.0943,0.0885,0.0855,0.0820,0.0794,0.0769,0.0746,0.0719,0.0694,0.0667,0.0654,0.0633,0.0613,0.0595,0.0578,0.0559,0.0546,0.0541
P5 (YG62),-1.0000,-1.4286,-2.5000,-5.0000,15.0000,10.0000,3.3333,2.5000,1.6667,1.4286,1.2500,1.1111,1.0000,0.9091,0.7692,0.6667,0.5882,0.5556,0.4762,0.4348,0.4000,0.3704,0.3333,0.2941,0.2564,0.2326,0.2128,0.1923,0.1786,0.1639,0.1515,0.1429,0.1351,0.1250,0.1149,0.1099,0.1053,0.1020,0.0962,0.0901,0.0870,0.0833,0.0806,0.0781,0.0758,0.0730,0.0704,0.0676,0.0662,0.0641,0.0621,0.0602,0.0585,0.0565,0.0552,0.0546
P6 (YG61-2.5),-0.9091,-1.2500,-2.0000,-3.3333,-10.0000,15.0000,5.0000,3.3333,2.0000,1.6667,1.4286,1.2500,1.1111,1.0000,0.8333,0.7143,0.6250,0.5882,0.5000,0.4545,0.4167,0.3846,0.3448,0.3030,0.2632,0.2381,0.2174,0.1961,0.1818,0.1667,0.1538,0.1449,0.1370,0.1266,0.1163,0.1111,0.1064,0.1031,0.0971,0.0909,0.0877,0.0840,0.0813,0.0787,0.0763,0.0735,0.0709,0.0680,0.0667,0.0645,0.0625,0.0606,0.0588,0.0568,0.0556,0.0549
P7 (YG61-2),-0.7692,-1.0000,-1.4286,-2.0000,-3.3333,-5.0000,15.0000,10.0000,3.3333,2.5000,2.0000,1.6667,1.4286,1.2500,1.0000,0.8333,0.7143,0.6667,0.5556,0.5000,0.4545,0.4167,0.3704,0.3226,0.2778,0.2500,0.2273,0.2041,0.1887,0.1724,0.1587,0.1493,0.1408,0.1299,0.1190,0.1136,0.1087,0.1053,0.0990,0.0926,0.0893,0.0855,0.0826,0.0800,0.0775,0.0746,0.0719,0.0690,0.0676,0.0654,0.0633,0.0613,0.0595,0.0575,0.0562,0.0556
P8 (YG61-1.5),-0.7143,-0.9091,-1.2500,-1.6667,-2.5000,-3.3333,-10.0000,15.0000,5.0000,3.3333,2.5000,2.0000,1.6667,1.4286,1.1111,0.9091,0.7692,0.7143,0.5882,0.5263,0.4762,0.4348,0.3846,0.3333,0.2857,0.2564,0.2326,0.2083,0.1923,0.1754,0.1613,0.1515,0.1429,0.1316,0.1205,0.1149,0.1099,0.1064,0.1000,0.0935,0.0901,0.0862,0.0833,0.0806,0.0781,0.0752,0.0725,0.0694,0.0680,0.0658,0.0637,0.0617,0.0599,0.0578,0.0565,0.0559
P9 (YG61-1),-0.6250,-0.7692,-1.0000,-1.2500,-1.6667,-2.0000,-3.3333,-5.0000,15.0000,10.0000,5.0000,3.3333,2.5000,2.0000,1.4286,1.1111,0.9091,0.8333,0.6667,0.5882,0.5263,0.4762,0.4167,0.3571,0.3030,0.2703,0.2439,0.2174,0.2000,0.1818,0.1667,0.1562,0.1471,0.1351,0.1235,0.1176,0.1124,0.1087,0.1020,0.0952,0.0917,0.0877,0.0847,0.0820,0.0794,0.0763,0.0735,0.0704,0.0690,0.0667,0.0645,0.0625,0.0606,0.0585,0.0571,0.0565
P10 (YG61-0.9HX),-0.5882,-0.7143,-0.9091,-1.1111,-1.4286,-1.6667,-2.5000,-3.3333,-10.0000,15.0000,10.0000,5.0000,3.3333,2.5000,1.6667,1.2500,1.0000,0.9091,0.7143,0.6250,0.5556,0.5000,0.4348,0.3704,0.3125,0.2778,0.2500,0.2222,0.2041,0.1852,0.1695,0.1587,0.1493,0.1370,0.1250,0.1190,0.1136,0.1099,0.1031,0.0962,0.0926,0.0885,0.0855,0.0826,0.0800,0.0769,0.0741,0.0709,0.0694,0.0671,0.0649,0.0629,0.0610,0.0588,0.0575,0.0568
