name,x_coords,y_coords,distance
YG63LHK,269025.47,3742385.49,0.2
YG62-1.5,269061.84,3742137.24,0.5
YG62-1,269043.79,3741866.02,0.8
YG62-0.5,269023.67,3741665.63,1.0
YG62,269001.44,3741467.83,1.2
YG61-2.5,269049.20,3741308.93,1.3
YG61-2,269100.51,3741190.69,1.5
YG61-1.5,269217.13,3741073.39,1.6
YG61-1,269324.98,3740980.03,1.8
YG61-0.9HX,269449.75,3741031.69,1.9
YG61-0.75,269451.12,3740853.87,2.0
YG61-0.5,269506.00,3740766.95,2.1
YG61-0.25,269551.89,3740623.33,2.2
YG61,269556.03,3740482.84,2.3
YG60-1.75,269495.09,3740318.37,2.5
YG60-1.5,269409.51,3740158.92,2.7
YG60-1.25,269305.36,3740011.46,2.9
YG60-1,269209.09,3739889.26,3.0
YG60-0.5,269053.95,3739685.16,3.3
YG60,268919.82,3739476.30,3.5
YG59-0.5,268832.45,3739295.60,3.7
YG59-1,268746.06,3739100.14,3.9
YG59-2,268649.77,3738843.13,4.2
YG59,268506.24,3738531.31,4.6
YG58-1,268231.40,3738138.69,5.1
YG58,267851.96,3737914.43,5.5
YG57-1,267547.56,3737715.21,5.9
YG57-2,267685.72,3737263.74,6.4
YG57,267685.26,3736816.18,6.8
YG56-1,267602.80,3736282.34,7.3
YG56,267533.59,3735809.92,7.8
YG55-1,267445.63,3735413.68,8.2
YG55,267349.74,3735037.58,8.6
YG54-1,267411.35,3734497.89,9.2
YG54,267895.18,3734128.87,9.9
YG53-2,268334.62,3734026.49,10.3
YG53-1,268658.98,3733866.58,10.7
YG53,268888.28,3733642.17,11.0
YG52-1,269500.43,3733578.18,11.6
YG52,270124.84,3733671.19,12.3
YG51-1,270543.59,3733772.33,12.7
YG51,271028.25,3733754.68,13.2
YG50-1,271077.19,3733391.61,13.6
YG50,270886.89,3733066.72,14.0
YG49-1,270475.23,3732872.68,14.4
YG49,270035.92,3732820.53,14.9
YG48-1,269468.21,3732757.47,15.4
YG48,269091.27,3732454.99,16.0
YG47-2,269141.71,3732133.28,16.3
YG47,269034.05,3731712.22,16.8
YG47-1,268472.48,3731712.10,17.3
YG46,268011.37,3731597.97,17.8
YG46-1,268124.50,3731123.31,18.3
YG45,268491.42,3730761.85,18.9
YG45-1,268611.04,3730358.80,19.3
YG44YGYJ,268543.22,3730146.31,19.5
